Cerveza,Tipo,Calorias,Alcohol,Contenido,Costo100ml,Pais,Origen
BARRILITO,Cerveza clara,32,3.56,325,3.00,México,Nacional
DOS EQUIS XX Lager Especial,Cerveza clara,34,4.45,355,4.08,México,Nacional
GUINESS DRAUGHT,Cerveza oscura,34,4.11,330,9.70,Irlanda,Importada
INDIO PILSNER PLATA,Cerveza ámbar,34,4.18,473,3.17,México,Nacional
INDIO,Cerveza oscura,35,4.05,1200,2.58,México,Nacional
Victoria,Cerveza ámbar,35,3.91,325,3.87,México,Nacional
SINGHA,Cerveza clara,37,4.94,330,10.91,Tailandia,Importada
Lager TECATE,Cerveza clara,38,4.64,355,3.66,México,Nacional
CARTA BLANCA,Cerveza clara,39,4.46,355,2.58,México,Nacional
Lucky Buddha,Cerveza clara,39,4.89,330,12.12,China,Importada
Modelo especial,Cerveza clara,39,4.47,473,3.28,México,Nacional
LEON,Cerveza ámbar,39,4.28,325,3.85,México,Nacional
SAPPORO,Cerveza clara,39,4.91,650,9.23,Canadá,Importada
DOS EQUIS XX Ambar,Cerveza ámbar,40,4.93,355,4.08,México,Nacional
SCHLOSS Eggenberg Hopfen König,Cerveza clara,42,5.00,330,22.12,Austria,Importada
SCHLOSS Eggenberg Silver,Cerveza clara,42,5.12,330,22.12,Austria,Importada
DIA DE MUERTOS,Cerveza oscura,43,4.68,330,8.76,México,Nacional
SCHLOSS Eggenberg NESSIE,Cerveza oscura,43,4.95,330,17.88,Austria,Importada
BAD KING JOHN,Cerveza oscura,46,5.85,500,15.98,Reino Unido,Importada
CINCO ESTRELLAS Mahou,Cerveza ámbar,46,5.50,330,8.15,España,Importada
Ginger Beard Marston's,Cerveza oscura,47,4.06,500,16.40,Reino Unido,Importada
Budweiser KING OF BEERS,Cerveza clara,38,4.95,946,3.17,Estados Unidos,Importada
Miller GENUINE DRAFT,Cerveza clara,38,4.55,355,4.65,Estados Unidos,Importada
Miller HIGH LIFE,Cerveza clara,38,4.55,946,3.07,Estados Unidos,Importada
Old Milwuakee,Cerveza clara,38,4.45,710,4.79,Estados Unidos,Importada
PACIFICO,Cerveza clara,38,4.20,325,3.85,México,Nacional
PISTONHEAD Kustom Lager,Cerveza clara,38,4.63,330,11.21,Suecia,Importada
Superior,Cerveza clara,38,4.57,355,2.44,México,Nacional
Heineken Lager,Cerveza clara,40,4.85,250,5.40,México,Nacional
Hofbräu Original,Cerveza clara,40,5.16,500,10.80,Alemania,Importada
Mönchshof Original,Cerveza clara,40,4.82,500,6.40,Alemania,Importada
Coronita Extra,Cerveza clara,41,4.53,210,4.37,México,Nacional
Fuller's London Pride,Cerveza ámbar,41,4.64,500,11.80,Reino Unido,Importada
BOMBARDIER CHARLES WELLS,Cerveza ámbar,42,5.13,500,15.00,Reino Unido,Importada
Mexicali,Cerveza ámbar,42,4.92,330,7.12,México,Nacional
Modelo Negra,Cerveza oscura,47,5.27,355,4.06,México,Nacional
BALTIKA #6 Porter,Cerveza oscura,57,7.33,500,10.40,Rusia,Importada
Maredsous,Cerveza oscura,58,7.84,330,16.64,Bélgica,Importada
Matilda,Cerveza oscura,58,6.90,355,11.83,Estados Unidos,Importada
Osadía,Cerveza oscura,58,6.16,355,10.42,México,Nacional
DELIRIUM nocturnum HUYGHE,Cerveza oscura,59,8.26,330,20.00,Bélgica,Importada
GOUDEN CAROLUS classic,Cerveza oscura,77,8.28,330,15.45,Bélgica,Importada
Miller 64 Bajo en calorías,Cerveza oscura,16,2.71,355,4.23,Estados Unidos,Importada
Michelob ULTRA,Cerveza oscura,24,4.00,355,4.23,Estados Unidos,Importada
Miller Lite,Cerveza clara,25,4.12,946,3.07,Estados Unidos,Importada
Coors LIGHT,Cerveza clara,26,4.07,355,3.80,México,Nacional
Corona Light,Cerveza clara,26,4.03,355,3.38,México,Nacional
KLOSTER LIGHT,Cerveza clara,26,3.05,355,2.16,México,Nacional
TROPICAL LIGHT,Cerveza clara,28,3.20,355,1.97,México,Nacional
TECATE LIGHT,Cerveza clara,29,3.91,355,3.66,México,Nacional